Country,Capital,Capital Latitude,Captial Longitude,Continent
Somaliland,Hargeisa,9.55,44.05,Africa
South Georgia and South Sandwich Islands,King Edward Point,-54.283333,-36.5,Antarctica
French Southern and Antarctic Lands,Port-aux-Français,-49.35,70.216667,Antarctica
Aland Islands,Mariehamn,60.11666700000001,19.9,Europe
Nauru,Yaren,-0.5477,166.920867,Australia
Saint Martin,Marigot,18.0731,-63.0822,North America
Tokelau,Atafu,-9.166667,-171.833333,Australia
Western Sahara,El-Aaiún,27.153610999999998,-13.203332999999999,Africa
Afghanistan,Kabul,34.516666666666666,69.18333299999999,Asia
Albania,Tirana,41.31666666666667,19.816667000000002,Europe
Algeria,Algiers,36.75,3.05,Africa
American Samoa,Pago Pago,-14.266666666666667,-170.7,Australia
Andorra,Andorra la Vella,42.5,1.516667,Europe
Angola,Luanda,-8.833333333333334,13.216667000000001,Africa
Anguilla,The Valley,18.216666666666665,-63.05,North America
Antigua and Barbuda,Saint John's,17.116666666666667,-61.85,North America
Argentina,Buenos Aires,-34.583333333333336,-58.666667000000004,South America
Armenia,Yerevan,40.16666666666666,44.5,Europe
Aruba,Oranjestad,12.516666666666667,-70.033333,North America
Australia,Canberra,-35.266666666666666,149.133333,Australia
Austria,Vienna,48.2,16.366667,Europe
Azerbaijan,Baku,40.38333333333333,49.866667,Europe
Bahamas,Nassau,25.08333333333333,-77.35,North America
Bahrain,Manama,26.23333333333333,50.566666999999995,Asia
Bangladesh,Dhaka,23.716666666666665,90.4,Asia
Barbados,Bridgetown,13.1,-59.61666700000001,North America
Belarus,Minsk,53.9,27.566667,Europe
Belgium,Brussels,50.83333333333334,4.3333330000000005,Europe
Belize,Belmopan,17.25,-88.766667,Central America
Benin,Porto-Novo,6.4833333333333325,2.6166669999999996,Africa
Bermuda,Hamilton,32.28333333333333,-64.783333,North America
Bhutan,Thimphu,27.466666666666665,89.633333,Asia
Bolivia,La Paz,-16.5,-68.15,South America
Bosnia and Herzegovina,Sarajevo,43.86666666666667,18.416667,Europe
Botswana,Gaborone,-24.63333333333333,25.9,Africa
Brazil,Brasilia,-15.783333333333333,-47.916667,South America
British Virgin Islands,Road Town,18.416666666666668,-64.616667,North America
Brunei Darussalam,Bandar Seri Begawan,4.883333333333333,114.933333,Asia
Bulgaria,Sofia,42.68333333333333,23.316667000000002,Europe
Burkina Faso,Ouagadougou,12.366666666666667,-1.516667,Africa
Myanmar,Rangoon,16.8,96.15,Asia
Burundi,Bujumbura,-3.3666666666666667,29.35,Africa
Cambodia,Phnom Penh,11.55,104.91666699999999,Asia
Cameroon,Yaounde,3.8666666666666663,11.516667,Africa
Canada,Ottawa,45.41666666666666,-75.7,Central America
Cape Verde,Praia,14.916666666666664,-23.516667,Africa
Cayman Islands,George Town,19.3,-81.383333,North America
Central African Republic,Bangui,4.366666666666666,18.583333,Africa
Chad,N'Djamena,12.1,15.033332999999999,Africa
Chile,Santiago,-33.45,-70.666667,South America
China,Beijing,39.91666666666666,116.38333300000001,Asia
Christmas Island,The Settlement,-10.416666666666666,105.71666699999999,Australia
Cocos Islands,West Island,-12.166666666666664,96.833333,Australia
Colombia,Bogota,4.6,-74.083333,South America
Comoros,Moroni,-11.7,43.233333,Africa
Democratic Republic of the Congo,Kinshasa,-4.316666666666666,15.3,Africa
Republic of Congo,Brazzaville,-4.25,15.283332999999999,Africa
Cook Islands,Avarua,-21.2,-159.76666699999998,Australia
Costa Rica,San Jose,9.933333333333334,-84.083333,Central America
Cote d'Ivoire,Yamoussoukro,6.816666666666666,-5.266667,Africa
Croatia,Zagreb,45.8,16.0,Europe
Cuba,Havana,23.11666666666667,-82.35,North America
Curaçao,Willemstad,12.1,-68.916667,North America
Cyprus,Nicosia,35.166666666666664,33.366667,Europe
Czech Republic,Prague,50.08333333333334,14.466667000000001,Europe
Denmark,Copenhagen,55.66666666666666,12.583333,Europe
Djibouti,Djibouti,11.583333333333336,43.15,Africa
Dominica,Roseau,15.3,-61.4,North America
Dominican Republic,Santo Domingo,18.466666666666665,-69.9,North America
Ecuador,Quito,-0.21666666666666667,-78.5,South America
